,title,0,af,als,az,bar,br,bs,ca,cbk-zam,co,cs,cy,da,de,diq,eml,en,eo,es,et,eu,fi,fr,fy,ga,gl,hr,ht,hu,ia,id,ie,ig,io,is,it,jam,la,lb,lfn,lmo,lt,lv,ms,nap,nb,nl,nn,nov,pl,pt,ro,ru,sc,scn,sh,simple,sk,sl,sq,sv,tl,tr,uz,war,Total,mean
48,Il cavallo rosso,1.0,,,,,,,,,,,,,,,,15.0,,,,,,14.0,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,19.875
49,Il cimitero di Praga,1.0,,,,,,,9.0,,,,,,31.0,,,58.0,,32.0,,,,,,,,,,,,7.0,,,,,62.0,,1.0,,,,,,,,,5.0,,,10.0,,,,,,,,,,,2.0,,,,,218.0,35.06293706293706
50,Il club dei viaggiatori immaginari,1.0,,,,1.0,,,,,,,,,2.0,,,17.0,,9.0,,,,8.0,,,,,,4.0,,,,,,,28.0,,,,,,,,,,,11.0,,,33.0,6.0,,,,,,,,,,,,4.0,,,124.0,18.452380952380953
51,Il confine del mondo,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,34.0,12.75
52,Il destino di Adhara,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,7.0,3.2666666666666666
53,Il fabbricante di specchi,1.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,22.4
54,Il fantasma di Mozart,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,12.5
55,Il figlio del sogno,1.0,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,42.0,15.75
56,Il giro di boa,1.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,72.8
57,Il ladro di merendine,1.0,,,,,,,,,,,,,,,,26.0,,,,,,,,,3.0,,,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0,62.25
58,Il mercante di libri maledetti,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.875
59,Il nome della rosa,1.0,3.0,,,,,,50.0,,,,6.0,17.0,261.0,,,333.0,25.0,207.0,,12.0,30.0,186.0,,,15.0,,,,,14.0,,,,,285.0,,10.0,7.0,,,,,,,58.0,43.0,18.0,,,64.0,10.0,,,,4.0,,,,1.0,41.0,,,,,1701.0,128.52
60,Il paese dove non si muore mai,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.875
61,Il pendolo di Foucault,1.0,,,,,,,,,,15.0,,,91.0,,,,,,,4.0,23.0,82.0,,,,,,17.0,,1.0,,,,,104.0,,,,,,,,,,,25.0,,,,,7.0,,,,8.0,,8.0,8.0,,8.0,,,,,402.0,48.870588235294115
62,Il poema dei lunatici,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0
63,Il quinto principio,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,4.375
64,Il suggeritore,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,12.5
65,Il talismano del potere,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,17.266666666666666
66,Il tempo che vorrei,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.875
67,Il tiranno,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,70.0,26.25
68,In ogni caso nessun rimorso,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0
69,Insciallah,1.0,,,,,,,,,,,,,4.0,,,13.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,34.0,10.685714285714285
70,Io e te,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.125
71,Io non ho paura,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.8
72,Io uccido,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11.666666666666668
73,La Delfina Bizantina,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.333333333333333
74,La bambina della Sesta Luna,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,16.25
75,La casa delle voci,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,7.5
76,La chimera (romanzo),1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.4
77,La concessione del telefono,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,82.5
78,La forza della ragione,1.0,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,39.0,14.625
79,La gita a Tindari,1.0,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,74.66666666666666
80,La grande sera,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.666666666666666
81,La luna di carta,1.0,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,72.8
82,La lunga notte di Exilles. Una sacra rappresentazione,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,13.125
83,La masseria delle allodole,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,22.5
