,title,0,af,als,az,bar,br,bs,ca,cbk-zam,co,cs,cy,da,de,diq,eml,en,eo,es,et,eu,fi,fr,fy,ga,gl,hr,ht,hu,ia,id,ie,ig,io,is,it,jam,la,lb,lfn,lmo,lt,lv,ms,nap,nb,nl,nn,nov,pl,pt,ro,ru,sc,scn,sh,simple,sk,sl,sq,sv,tl,tr,uz,war,Total,mean
114,Nel mare ci sono i coccodrilli,1.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,11.666666666666668
115,Nelle nebbie del tempo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,31.25
116,New Thing,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,14.466666666666665
117,"Nicolas Eymerich, inquisitore",1.0,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,35.46666666666666
118,Nihal della terra del vento,1.0,,,,,,,,,,,,,,,,,,2.0,,,,14.0,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,50.0,15.714285714285714
119,Nina e la maledizione del Serpente Piumato,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0
120,Non tutti i bastardi sono di Vienna,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.2
121,Notturno indiano,1.0,,,,,0.0,,,,,,,,,,,15.0,,,,,,20.0,,1.0,,,,,,,,,,,13.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,51.0,12.142857142857144
122,Numero zero,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,15.625
123,Nuova grammatica finlandese,1.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,19.0,7.125
124,Oceano mare,1.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,22.4
125,"Omero, Iliade",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,23.125
126,Palomar (romanzo),1.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,40.13333333333333
127,Pandora (Licia Troisi),1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,2.8
128,Passavamo sulla terra leggeri,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,2.8
129,Passo d'addio,1.0,71.0,68.0,85.0,,135.0,84.0,714.0,4.0,,687.0,42.0,584.0,2548.0,21.0,,12781.0,376.0,1716.0,177.0,168.0,626.0,2665.0,89.0,,200.0,276.0,,398.0,5.0,163.0,6.0,0.0,22.0,,907.0,2.0,52.0,,2.0,,248.0,84.0,57.0,,403.0,814.0,102.0,0.0,797.0,,166.0,,,,241.0,371.0,170.0,257.0,26.0,667.0,43.0,274.0,16.0,1.0,30412.0,1137.2008547008547
